timestep,sars_data,no_superspreader,strong_model,hub_model
0,0,2.554,7.338,7.038
1,0,3.871,14.744,25.213
2,3,4.261,22.934,51.136
3,9,4.341,32.427,82.171
4,20,4.313,41.836,105.199
5,51,4.297,52.311,92.636
6,17,4.266,63.275,50.448
7,16,4.262,67.584,17.247
8,40,4.152,58.59,4.975
9,27,3.92,41.482,1.648
10,12,3.866,23.064,0.457
11,9,3.664,9.56,0.056
12,1,3.657,3.564,0.0
13,1,3.474,1.356,0.0
14,0,3.364,0.598,0.0
15,0,3.156,0.294,0.0
16,0,2.928,0.143,0.0
17,0,2.763,0.076,0.0
18,0,2.609,0.017,0.0
19,0,2.443,0.002,0.0
20,0,2.317,0.001,0.0
21,0,2.095,0.0,0.0
22,0,1.938,0.0,0.0
23,0,1.724,0.0,0.0
24,0,1.596,0.0,0.0
25,0,1.46,0.0,0.0
