timestep,no_superspreader,strong_model,hub_model
0,3.39,6.661,6.625
1,6.464,15.168,22.8
2,8.339,23.936,47.609
3,10.128,33.804,76.88
4,12.087,44.125,108.822
5,13.702,54.935,128.458
6,15.388,67.305,111.214
7,17.229,78.214,67.971
8,19.153,82.996,28.672
9,21.04,72.978,9.009
10,23.111,55.055,2.274
11,24.869,34.915,0.611
12,26.343,18.336,0.162
13,27.768,8.424,0.007
14,28.525,3.406,0.0
15,28.861,1.318,0.0
16,28.247,0.429,0.0
17,27.04,0.212,0.0
18,25.397,0.093,0.0
19,23.123,0.057,0.0
20,20.833,0.042,0.0
21,18.269,0.027,0.0
22,15.928,0.005,0.0
23,13.74,0.002,0.0
24,11.801,0.002,0.0
25,9.999,0.002,0.0
26,8.303,0.0,0.0
27,7.006,0.0,0.0
28,5.866,0.0,0.0
29,4.853,0.0,0.0
30,4.143,0.0,0.0
31,3.321,0.0,0.0
32,2.746,0.0,0.0
33,2.254,0.0,0.0
34,1.727,0.0,0.0
35,1.39,0.0,0.0
36,1.13,0.0,0.0
37,0.91,0.0,0.0
38,0.755,0.0,0.0
39,0.604,0.0,0.0
