index,x,y,is_super,final_state,secondary_infections
0,9.952077,0.000000,0,2,1
1,3.598976,4.458469,0,2,1
2,4.551523,1.503473,0,2,1
3,6.395197,4.424887,0,2,2
4,5.382488,4.083342,0,2,1
5,9.195122,9.002415,0,2,3
6,0.860299,1.273144,0,2,0
7,5.722711,8.109836,0,2,0
8,8.754539,5.432973,0,2,1
9,0.871398,0.295716,1,2,3
10,0.570766,1.950492,0,2,1
11,9.548216,6.975494,0,2,0
12,5.955494,5.376435,1,2,4
13,6.987584,3.700469,0,2,0
14,0.848314,0.501089,0,2,2
15,9.902495,6.081166,0,2,1
16,9.251515,0.471375,0,2,0
17,4.407218,1.303357,0,2,2
18,3.790172,3.753139,0,2,0
19,8.068990,8.660282,0,2,0
20,5.196623,5.149172,1,2,0
21,3.687798,9.276274,1,2,2
22,8.187078,3.134587,0,2,1
23,2.011878,2.412383,0,2,1
24,6.439528,8.350588,0,2,0
25,4.895586,6.469932,0,2,0
26,7.527234,7.249888,0,2,0
27,0.161464,9.322699,0,2,0
28,1.850904,7.938853,0,2,0
29,8.179702,7.315862,0,2,0
30,2.866560,3.103644,0,2,0
31,0.115344,4.162116,0,2,0
32,5.447914,3.328906,1,2,0
33,2.008859,4.206282,0,2,0
34,9.646903,9.595077,0,2,0
35,0.926238,4.549917,0,2,0
36,6.057148,4.081518,0,2,0
37,4.927758,5.001925,0,2,2
38,2.731480,1.461992,1,0,0
39,5.763751,4.603452,1,2,4
40,6.330222,5.644246,0,2,0
41,5.940112,3.011715,1,2,6
42,2.450095,5.501338,1,2,7
43,3.187613,4.540850,0,2,0
44,5.147992,8.374595,0,2,0
45,6.531993,4.496070,0,2,1
46,6.244944,4.393357,1,2,1
47,9.776941,5.133841,0,2,1
48,3.289153,6.219755,0,2,2
49,0.928767,6.609447,1,2,5
50,3.289370,8.413344,0,2,2
51,5.364390,2.416300,0,2,0
52,4.964251,7.231050,0,2,0
53,5.001511,5.432468,0,2,1
54,6.671716,7.431404,1,2,1
55,7.958314,6.859413,0,2,4
56,4.592841,0.603956,0,2,0
57,4.089047,2.551764,0,2,2
58,4.656663,5.842434,0,2,0
59,8.167209,7.867485,0,2,0
60,3.059312,3.011479,1,2,4
61,5.912932,6.530966,0,2,0
62,4.466376,9.922215,0,2,1
63,2.522693,4.301889,0,2,0
64,1.906887,9.596567,0,2,0
65,9.105013,0.059423,0,2,4
66,4.706399,1.812139,0,2,0
67,1.583767,3.767438,0,2,0
68,3.003645,7.374202,0,2,0
69,7.310151,2.903184,0,2,0
70,3.463885,2.795469,0,2,0
71,3.811173,3.500758,0,2,0
72,9.883988,1.184989,0,2,4
73,7.465884,9.072531,0,0,0
74,4.755804,0.482823,0,2,2
75,2.656477,8.328892,0,2,0
76,4.689076,4.809490,1,2,1
77,9.768044,3.807637,0,2,2
78,9.546075,1.480027,0,2,1
79,8.227411,7.035362,0,2,2
80,3.643139,3.807650,0,2,1
81,1.430192,4.746109,0,2,0
82,5.122179,7.910955,0,2,0
