infector,infectee,time_step
0,193,1
193,14,2
193,65,2
193,72,2
193,149,2
193,164,2
193,233,2
193,237,2
193,272,2
193,378,2
193,410,2
193,450,2
193,473,2
14,9,3
473,10,3
65,16,3
473,78,3
65,94,3
473,118,3
65,132,3
65,174,3
72,189,3
149,222,3
149,240,3
473,276,3
72,313,3
473,321,3
149,338,3
72,354,3
72,362,3
272,363,3
149,407,3
14,408,3
149,420,3
473,430,3
473,456,3
10,6,4
94,86,4
94,89,4
276,97,4
94,101,4
276,153,4
174,154,4
276,160,4
276,182,4
276,204,4
78,205,4
420,211,4
9,232,4
118,234,4
276,263,4
276,273,4
94,281,4
354,283,4
321,287,4
276,319,4
240,329,4
94,369,4
363,376,4
276,384,4
430,388,4
276,396,4
420,398,4
276,401,4
276,419,4
174,422,4
132,434,4
9,436,4
9,452,4
240,458,4
211,22,5
153,23,5
153,67,5
281,84,5
422,85,5
97,116,5
86,126,5
153,128,5
153,134,5
154,136,5
211,161,5
86,196,5
153,206,5
281,208,5
204,209,5
281,257,5
205,259,5
281,260,5
153,262,5
419,270,5
101,317,5
211,331,5
211,334,5
97,355,5
153,359,5
281,360,5
281,380,5
419,399,5
97,405,5
153,423,5
153,428,5
153,431,5
232,440,5
153,441,5
97,449,5
153,465,5
153,469,5
283,475,5
431,1,6
262,18,6
431,30,6
359,31,6
441,33,6
262,60,6
262,63,6
334,69,6
262,70,6
84,77,6
431,80,6
84,103,6
475,110,6
262,121,6
431,127,6
262,156,6
128,159,6
262,163,6
136,170,6
23,177,6
359,192,6
262,198,6
431,221,6
262,224,6
260,266,6
260,268,6
380,275,6
270,278,6
380,280,6
262,291,6
262,308,6
399,315,6
334,323,6
317,325,6
334,335,6
431,339,6
22,346,6
405,351,6
469,371,6
262,391,6
262,404,6
475,413,6
136,455,6
257,470,6
431,471,6
380,476,6
315,3,7
280,8,7
278,13,7
476,15,7
170,41,7
221,42,7
1,43,7
315,45,7
476,47,7
471,57,7
291,71,7
266,99,7
60,102,7
315,104,7
221,112,7
476,114,7
339,125,7
339,151,7
339,152,7
476,200,7
280,212,7
339,213,7
315,214,7
77,220,7
476,241,7
60,251,7
339,258,7
291,286,7
275,305,7
476,306,7
159,330,7
77,342,7
339,343,7
60,345,7
315,374,7
275,381,7
177,387,7
476,389,7
80,418,7
315,443,7
221,466,7
60,472,7
102,2,8
213,4,8
104,12,8
389,35,8
443,36,8
286,37,8
41,39,8
3,46,8
389,49,8
286,53,8
306,55,8
151,66,8
104,76,8
389,81,8
15,88,8
345,93,8
