index,x,y,is_super,final_state,secondary_infections
0,8.252270,0.000000,0,2,1
1,8.901204,0.521880,0,2,2
2,2.526250,5.629431,0,0,0
3,8.006901,4.456086,0,0,0
4,8.522615,7.091849,0,0,0
5,2.972568,3.104055,0,0,0
6,3.912631,4.778723,0,0,0
7,6.637588,5.511593,0,0,0
8,9.302992,2.766776,0,0,0
9,0.939394,6.387746,0,0,0
10,2.931493,4.389996,0,0,0
11,9.185269,1.908787,0,2,2
12,0.966828,1.429649,0,0,0
13,8.651965,2.062432,0,2,3
14,1.155464,5.051844,0,0,0
15,3.756026,7.005465,0,0,0
16,3.222357,3.674538,0,0,0
17,9.169185,8.174038,0,0,0
18,2.339402,5.586425,0,0,0
19,3.860723,8.230646,0,0,0
20,2.371560,3.097744,0,0,0
21,4.070740,0.899845,0,0,0
22,2.739660,1.992206,0,0,0
23,3.228418,1.612324,0,0,0
24,2.299718,4.356785,0,0,0
25,1.458647,5.050716,0,0,0
26,1.741929,4.434407,0,0,0
27,7.758848,3.107033,0,2,0
28,7.091079,0.669070,0,0,0
29,0.368499,0.923740,0,0,0
30,2.782311,3.266385,0,0,0
31,3.217419,9.094981,0,0,0
32,5.356109,0.304931,0,0,0
33,7.737740,6.101947,0,0,0
34,9.496219,0.650218,0,0,0
35,4.411984,0.390342,0,0,0
36,5.998114,6.809586,0,0,0
37,5.247268,8.378874,0,0,0
38,3.028815,9.133737,0,0,0
39,7.738917,5.206564,0,0,0
40,4.999861,1.642701,0,0,0
41,5.276969,8.134161,0,0,0
42,1.249359,6.081179,0,0,0
43,5.124648,2.803787,0,0,0
44,0.549487,8.137185,0,0,0
45,3.752654,9.018205,0,0,0
46,8.177202,9.308114,0,0,0
47,9.756852,0.620954,0,0,0
48,6.319560,8.256501,0,0,0
49,4.385400,6.035785,0,0,0
50,5.764747,2.710814,0,0,0
51,1.684043,1.604356,0,0,0
52,7.069308,7.408067,0,0,0
53,2.739057,6.664636,0,0,0
54,9.227220,0.710102,0,2,0
55,2.237944,8.242083,0,0,0
56,3.947633,1.448463,0,0,0
57,7.091887,1.212218,0,2,1
58,8.740213,2.176906,0,2,0
59,0.563694,2.480925,0,0,0
60,1.084564,3.060138,0,0,0
61,4.084457,2.871293,0,0,0
62,8.491121,9.560469,0,0,0
63,4.129409,2.346257,0,0,0
64,0.366332,6.641290,0,0,0
65,2.597263,3.812141,0,0,0
66,6.281806,9.202245,0,0,0
67,4.999221,8.917687,0,0,0
68,7.164680,6.307773,0,0,0
69,2.460413,3.939549,0,0,0
70,1.350842,4.988163,0,0,0
71,4.964700,9.535266,0,0,0
72,6.780256,8.404760,0,0,0
73,4.203176,7.182528,0,0,0
74,2.263443,6.642441,0,0,0
75,2.165071,5.621620,0,0,0
76,5.531460,6.267248,0,0,0
77,3.865832,6.690712,0,0,0
78,7.059911,3.661262,0,0,0
79,7.253134,8.284635,0,0,0
80,5.481209,1.611896,0,0,0
81,0.555353,1.048228,0,0,0
82,8.628974,3.678680,0,0,0
83,5.011023,0.873767,0,0,0
84,5.174532,0.329223,0,0,0
85,4.934078,0.863975,0,0,0
86,1.651215,7.389067,0,0,0
87,1.120585,7.744167,0,0,0
88,1.312449,4.687050,0,0,0
89,7.443474,4.997722,0,0,0
90,3.381327,0.897815,0,0,0
91,1.125652,5.238958,0,0,0
92,9.867478,0.969835,0,0,0
93,4.890593,4.312839,0,0,0
94,8.996461,9.497348,0,0,0
95,4.165220,3.650563,0,0,0
96,0.836975,3.095263,0,0,0
97,1.412695,8.243631,0,0,0
98,5.111772,9.403258,0,0,0
99,0.861711,4.613084,0,0,0
100,6.960148,8.178871,0,0,0
101,4.128794,3.785914,0,0,0
102,7.097080,1.794703,0,2,0
103,3.236023,5.719913,0,0,0
104,1.375261,9.416098,0,0,0
105,9.903817,9.934732,0,0,0
106,4.612711,9.449909,0,0,0
107,2.704294,9.768013,0,0,0
108,5.957929,7.424741,0,0,0
109,0.425451,8.543379,0,0,0
110,2.998419,8.166392,0,0,0
111,1.671854,7.739176,0,0,0
112,7.944445,2.572708,0,2,1
113,5.004664,0.807145,0,0,0
114,4.282969,9.747465,0,0,0
115,3.414025,2.446025,0,0,0
116,5.177372,1.157178,0,0,0
117,4.670251,8.572644,0,0,0
118,4.326539,8.427995,0,0,0
119,9.076804,1.751019,0,2,1
120,0.553908,6.474128,0,0,0
121,5.414905,7.109312,0,0,0
122,5.918193,6.537020,0,0,0
123,0.857582,9.757445,0,0,0
124,2.272340,1.824411,0,0,0
125,4.168848,1.607324,0,0,0
126,7.894256,4.102564,0,0,0
127,6.323366,6.240739,0,0,0
128,4.126849,1.532993,0,0,0
129,3.114838,8.676958,0,0,0
130,0.723248,3.213089,0,0,0
131,8.872965,4.081623,0,0,0
132,9.494899,4.602489,0,0,0
133,8.106334,6.658352,0,0,0
134,2.132132,6.608873,0,0,0
135,2.745875,5.077453,0,0,0
136,7.721311,7.550209,0,0,0
137,6.028879,6.541395,0,0,0
138,6.038643,5.072705,0,0,0
139,7.418139,1.140510,0,2,1
140,8.352684,7.300334,0,0,0
141,0.186549,6.650750,0,0,0
142,1.347565,5.865524,0,0,0
143,5.084996,9.168124,0,0,0
144,1.634266,5.628752,0,0,0
145,2.481256,6.707691,0,0,0
146,7.258459,5.265305,0,0,0
147,8.312556,4.183270,0,0,0
148,7.325694,1.709277,0,2,1
149,3.324502,7.272713,0,0,0
150,6.903030,4.763527,0,0,0
151,1.256791,3.891788,0,0,0
152,0.039572,8.047194,0,0,0
153,3.181182,9.971380,0,0,0
154,5.093377,3.292829,0,0,0
155,8.976318,9.275553,0,0,0
156,0.062190,6.966347,0,0,0
157,1.336901,4.657461,0,0,0
158,2.737385,9.127579,0,0,0
159,5.443914,8.513687,0,0,0
160,8.942581,5.265413,0,0,0
161,0.774278,2.414908,0,0,0
162,4.638431,0.289348,0,0,0
163,4.586994,2.833745,0,0,0
164,3.444690,3.654962,0,0,0
165,4.470017,7.175626,0,0,0
166,1.322058,7.937289,0,0,0
167,0.805361,5.055482,0,0,0
168,5.387565,1.710150,0,0,0
169,2.507386,4.649767,0,0,0
170,7.020150,4.311380,0,0,0
171,9.680208,0.015889,0,0,0
172,1.409314,1.619659,0,0,0
173,6.495068,6.433947,0,0,0
174,7.165097,1.265430,0,2,2
175,6.202098,6.949052,0,0,0
176,3.848087,3.823647,0,0,0
177,0.000067,7.385513,0,0,0
178,3.446882,9.181641,0,0,0
179,5.961753,1.362140,0,0,0
180,8.620410,6.650475,0,0,0
181,8.104638,0.504967,0,2,2
182,7.607551,0.222065,0,2,2
183,7.358322,7.783125,0,0,0
184,4.148171,6.499799,0,0,0
185,9.814686,6.640021,0,0,0
186,1.488691,5.991678,0,0,0
187,8.903119,2.001219,0,2,1
188,0.298152,5.355399,0,0,0
189,2.225079,5.544769,0,0,0
190,9.772743,5.057913,0,0,0
191,7.077778,4.158834,0,0,0
192,8.001969,3.228536,0,0,0
193,4.325270,7.982947,0,0,0
194,1.586193,4.823526,0,0,0
195,5.930196,8.680979,0,0,0
196,5.379683,0.842034,0,0,0
