index,x,y,is_super,final_state,secondary_infections
0,2.972579,0.000000,0,2,3
1,1.905844,8.520975,0,2,1
2,5.846106,2.751597,0,2,2
3,3.620842,7.267327,0,2,1
4,7.803452,9.648104,0,2,0
5,5.749891,0.923873,0,2,0
6,7.385293,7.395601,0,2,0
7,0.162914,1.210506,0,2,0
8,4.629547,8.947431,0,2,0
9,4.874862,7.905602,1,2,9
10,6.864975,3.613820,0,2,0
11,0.999919,5.140177,0,0,0
12,7.924349,5.384206,0,2,3
13,0.011027,9.471909,0,2,0
14,8.678932,2.291122,1,2,1
15,0.949979,6.549745,0,2,0
16,1.055572,3.492199,0,2,1
17,9.078119,9.811223,0,2,0
18,4.711505,4.333250,0,2,0
19,3.274109,8.794785,0,2,2
20,5.557915,5.208587,1,2,1
21,4.614269,9.673517,0,0,0
22,2.516538,8.659672,0,2,0
23,5.475981,1.761959,0,2,1
24,4.254385,6.405736,1,2,7
25,3.960674,0.708468,0,2,0
26,6.949664,4.339703,0,2,0
27,5.981593,7.318348,0,2,0
28,7.397768,9.816101,0,2,0
29,8.154602,0.617899,0,2,0
30,2.157385,4.505430,1,2,0
31,2.675165,3.982664,1,2,0
32,6.199787,8.853690,0,2,0
33,5.545862,5.210902,1,2,0
34,2.104343,5.713013,0,2,0
35,5.361763,8.578433,0,2,2
36,0.451201,7.926692,0,2,1
37,1.281705,0.330272,0,2,1
38,1.973974,3.919206,1,2,11
39,4.147395,2.148699,0,2,0
40,1.462558,4.377857,0,2,0
41,8.979336,4.050894,1,0,0
42,6.136306,2.094997,0,2,0
43,2.985277,2.275484,0,2,0
44,4.887639,9.548773,0,0,0
45,0.382169,7.496210,0,2,0
46,5.733984,0.167223,1,2,2
47,3.768548,5.682899,0,2,0
48,6.563127,3.946511,0,2,2
49,8.895978,8.077394,0,2,0
50,0.102812,3.547950,0,2,0
51,3.272789,9.073819,1,2,0
52,3.529529,4.511521,0,2,0
53,1.294673,9.242930,1,2,4
54,1.992294,4.543837,0,2,0
55,0.104019,3.415291,0,2,0
56,1.850555,6.232090,0,2,0
57,5.698989,4.771199,1,2,6
58,6.755295,6.506508,0,2,2
59,1.287839,2.526991,0,2,2
60,7.560128,6.345385,0,2,1
61,0.159728,2.581946,0,2,2
62,6.275666,6.679555,0,2,0
63,4.403499,6.143106,0,2,1
64,4.002112,9.745721,0,2,0
65,6.680291,3.571429,0,2,1
66,6.809750,0.117198,1,2,0
67,7.839264,8.213752,0,2,0
68,2.331328,6.316516,0,2,3
69,2.420135,6.302995,0,2,0
70,0.260980,4.510057,0,0,0
71,3.341004,4.063679,0,2,0
72,8.988365,2.509636,0,2,0
73,3.293155,0.792851,0,2,0
74,4.069342,9.669678,0,2,0
75,9.391119,1.081197,0,2,2
76,9.369940,7.138275,0,2,0
77,7.668704,8.683794,0,2,1
78,4.386747,8.526867,0,2,1
79,1.162125,2.081594,0,2,0
80,1.541953,9.291988,0,2,0
81,8.503292,6.512663,0,2,4
82,7.555524,2.980181,0,2,0
83,9.584065,2.427515,1,2,1
84,8.970963,5.127454,0,2,2
85,2.528725,0.658152,0,2,0
86,3.344445,6.668184,0,2,0
87,7.998618,1.921346,0,2,0
88,1.858672,8.715572,0,2,0
89,3.618578,3.072039,0,2,2
90,4.087210,0.121683,0,2,0
91,7.948954,8.081769,1,2,3
92,7.819528,1.429785,0,2,0
93,0.820930,0.558084,0,2,0
94,9.523287,7.713944,0,2,0
95,0.233050,3.959106,0,2,1
96,9.278754,2.238447,1,2,1
97,6.280509,1.252717,0,0,0
98,3.028835,7.527596,0,2,1
99,9.222790,4.636999,0,2,1
100,1.758153,1.890035,0,2,0
101,4.783992,5.114973,1,2,0
102,4.018738,7.850443,0,2,0
103,3.572728,0.243111,0,2,0
104,4.900060,9.716977,0,0,0
105,2.708328,7.182106,1,2,3
106,0.176660,9.088048,0,2,0
107,9.468355,7.020050,0,2,0
108,0.210988,2.716334,0,2,1
109,2.254851,1.949785,1,2,11
110,4.788799,5.661365,0,2,0
111,1.631421,3.718910,0,2,1
112,0.368560,6.947493,0,2,0
113,0.830946,2.712882,0,2,1
114,1.762839,0.427482,0,2,2
115,1.452624,1.152025,0,2,0
116,3.054435,6.021184,0,2,0
117,4.877257,2.767112,0,2,0
118,8.429866,2.516258,0,2,0
119,1.775274,0.132392,0,2,0
120,9.550076,2.049048,0,2,0
121,4.422076,0.850416,0,2,0
122,1.616912,9.872964,0,2,0
123,9.001733,1.067084,1,2,4
124,7.708644,4.466800,0,2,0
125,3.265701,0.294206,0,2,2
126,6.963680,8.586514,0,2,1
127,1.694079,8.377563,0,2,0
128,9.039594,6.061078,0,2,0
129,5.061912,4.942570,0,2,1
130,8.561971,1.932219,1,2,1
131,2.278229,3.837397,1,2,0
132,8.609490,8.382044,0,2,0
133,1.343001,5.931954,0,2,0
134,9.124262,3.330564,0,2,1
135,6.621018,9.837159,0,2,0
136,3.481955,9.008701,1,2,4
137,8.129426,2.193933,0,2,0
138,2.725100,7.493389,0,2,0
139,8.477428,0.287539,0,2,0
140,4.851819,0.119202,0,2,0
141,9.359152,0.249652,0,2,0
142,7.410911,5.293563,1,2,1
143,6.904001,0.762715,0,2,1
144,4.921231,0.849328,0,2,0
145,4.345837,1.847709,1,2,3
146,5.529032,8.460399,0,2,0
147,8.591569,0.903616,0,2,0
148,7.361553,9.938587,0,2,0
149,3.869254,4.528424,0,2,1
150,1.292246,8.957178,0,2,1
151,7.367854,5.589562,0,2,1
152,3.252687,5.194377,0,2,0
153,9.900200,5.031157,0,2,2
154,3.273165,7.972531,0,2,0
155,5.999320,7.080587,0,2,0
156,3.748489,5.990201,0,2,0
157,9.655734,0.500138,0,2,0
158,2.433571,6.799699,0,2,2
159,2.732530,4.447425,0,2,1
160,6.428975,4.954849,0,2,0
161,8.687118,4.855852,0,2,0
162,6.635930,0.240311,0,2,0
163,1.082577,3.064364,0,2,0
164,6.478671,3.412219,0,2,2
165,6.903483,8.933412,0,2,0
166,5.665635,8.666251,0,2,0
167,0.374967,8.048949,0,2,0
168,9.321729,6.848412,0,2,0
169,7.324982,7.187995,0,2,0
170,2.775188,4.062954,0,2,0
171,5.218815,8.369836,1,2,1
172,2.632835,9.094092,0,2,0
173,8.035876,7.108111,1,2,7
174,8.930167,1.586241,0,2,1
175,9.651044,4.567512,0,2,0
176,3.067935,1.811689,0,2,0
177,7.797442,6.052701,0,2,2
178,0.959530,2.044085,1,2,4
179,9.250421,7.519548,0,2,2
180,5.043510,8.661389,0,2,0
181,2.520863,6.919743,0,2,0
182,2.642745,2.232540,0,2,0
183,2.716989,8.015417,1,2,5
184,3.552508,0.392774,0,2,1
185,2.477192,7.465572,0,2,0
186,6.260720,9.906819,0,2,0
187,4.355877,1.914686,0,2,0
188,4.560070,4.332502,0,2,0
189,3.467194,3.789579,0,2,3
190,5.818730,6.448648,0,2,0
191,8.093858,9.455316,0,2,0
192,3.272781,7.712915,0,2,0
193,4.889013,0.201470,0,2,0
194,5.802014,6.092232,0,2,0
195,9.537442,7.352000,0,2,1
196,8.050409,1.070384,0,2,0
197,3.227484,0.060442,0,2,0
198,9.270648,2.567479,0,2,2
199,8.766823,6.718917,0,2,0
200,3.857457,9.019531,0,2,0
201,6.411655,7.237259,0,2,0
202,2.785456,3.146159,0,2,0
203,0.622320,1.683078,0,2,0
204,1.791783,0.440384,0,2,2
205,9.339801,5.009273,0,2,0
206,4.958346,4.111128,0,2,0
207,0.009455,5.006523,0,2,0
208,0.556920,7.455265,0,2,2
209,6.757744,1.944902,0,2,1
210,9.540520,3.264324,0,2,1
211,8.059054,9.634191,0,2,0
212,1.310552,1.549968,0,2,1
213,2.528309,4.380706,0,2,0
214,8.120169,9.229994,1,2,8
215,2.474523,9.268067,0,2,0
216,5.470089,5.611860,0,2,0
217,7.778344,9.917990,0,2,0
