infector,infectee,time_step
0,73,1
0,125,1
0,197,1
125,184,2
125,406,2
406,25,3
406,85,3
184,90,3
406,103,3
406,246,3
406,256,3
406,303,3
406,365,3
406,383,3
406,409,3
383,121,4
246,140,4
246,144,4
246,193,4
246,259,4
246,439,4
246,450,4
409,463,4
259,5,5
259,46,5
463,114,5
463,204,5
259,320,5
259,461,5
204,37,6
114,119,6
46,162,6
204,219,6
114,235,6
46,454,6
235,93,7
235,115,7
454,143,7
219,212,7
219,218,7
219,247,7
37,283,7
219,315,7
219,373,7
235,417,7
219,425,7
425,59,8
373,79,8
425,100,8
373,178,8
425,203,8
212,243,8
425,262,8
247,290,8
425,360,8
143,367,8
315,402,8
425,445,8
425,449,8
425,451,8
402,7,9
445,16,9
178,61,9
290,75,9
445,108,9
449,109,9
59,113,9
290,141,9
290,157,9
59,163,9
445,240,9
178,310,9
178,318,9
367,324,9
367,347,9
290,376,9
243,395,9
402,414,9
445,457,9
178,475,9
109,43,10
240,50,10
240,55,10
324,66,10
61,83,10
240,95,10
310,96,10
310,120,10
376,123,10
75,174,10
109,176,10
109,182,10
310,198,10
310,210,10
61,229,10
113,267,10
109,292,10
109,311,10
109,330,10
109,332,10
108,377,10
109,390,10
324,393,10
16,399,10
75,400,10
109,403,10
109,429,10
109,460,10
83,14,11
123,29,11
198,72,11
330,89,11
399,111,11
198,118,11
174,130,11
210,134,11
123,139,11
123,147,11
123,196,11
429,202,11
330,253,11
330,266,11
332,329,11
330,331,11
460,337,11
95,339,11
400,388,11
96,427,11
111,38,12
427,87,12
130,92,12
337,131,12
427,137,12
331,189,12
14,245,12
89,273,12
134,275,12
89,297,12
427,305,12
38,30,13
38,31,13
38,40,13
189,52,13
38,54,13
189,71,13
245,82,13
38,159,13
38,170,13
38,213,13
38,230,13
245,250,13
245,264,13
38,345,13
189,361,13
38,411,13
38,413,13
245,436,13
273,455,13
250,10,14
455,18,14
250,65,14
361,149,14
250,164,14
455,188,14
455,206,14
455,244,14
250,257,14
159,282,14
250,346,14
361,348,14
455,378,14
250,381,14
455,384,14
361,391,14
455,418,14
250,434,14
346,2,15
164,48,15
378,117,15
257,209,15
149,220,15
378,237,15
164,261,15
378,270,15
378,286,15
378,316,15
378,321,15
378,349,15
65,362,15
378,364,15
378,394,15
378,396,15
378,397,15
378,415,15
378,420,15
418,438,15
257,440,15
415,23,16
48,26,16
2,42,16
220,47,16
286,57,16
349,129,16
220,152,16
2,221,16
286,226,16
321,238,16
261,248,16
261,249,16
220,254,16
261,265,16
48,272,16
220,281,16
220,309,16
220,334,16
286,342,16
286,343,16
316,389,16
209,401,16
286,424,16
270,442,16
438,447,16
248,12,17
343,20,17
57,33,17
254,63,17
129,101,17
254,110,17
248,124,17
248,142,17
447,145,17
248,151,17
254,156,17
57,160,17
57,216,17
254,232,17
424,234,17
57,258,17
57,260,17
265,312,17
23,323,17
265,325,17
248,328,17
57,363,17
272,435,17
254,458,17
248,459,17
248,462,17
63,24,18
145,39,18
458,86,18
458,116,18
12,177,18
145,187,18
20,194,18
142,242,18
458,308,18
363,317,18
458,356,18
458,369,18
458,375,18
151,404,18
12,410,18
145,419,18
12,431,18
258,465,18
356,3,19
242,58,19
375,68,19
375,69,19
177,81,19
24,251,19
369,268,19
24,288,19
24,304,19
24,333,19
24,407,19
177,453,19
24,467,19
24,471,19
453,60,20
304,98,20
3,102,20
304,105,20
304,154,20
68,158,20
304,192,20
81,222,20
471,227,20
81,255,20
407,263,20
407,279,20
81,289,20
288,327,20
81,350,20
58,368,20
58,380,20
68,382,20
68,392,20
471,428,20
288,430,20
304,441,20
471,464,20
327,9,21
464,27,21
382,34,21
382,56,21
368,62,21
222,76,21
222,107,21
255,128,21
382,133,21
105,138,21
428,155,21
222,168,21
350,173,21
222,179,21
158,181,21
105,183,21
158,185,21
464,190,21
222,195,21
350,199,21
368,201,21
382,269,21
350,313,21
105,314,21
382,326,21
382,336,21
98,338,21
350,341,21
382,374,21
382,379,21
222,385,21
382,412,21
222,444,21
60,448,21
183,1,22
173,6,22
269,15,22
183,19,22
183,22,22
9,35,22
313,49,22
9,78,22
173,91,22
195,94,22
385,112,22
314,127,22
313,132,22
9,146,22
173,169,22
9,171,22
9,180,22
269,208,22
9,228,22
9,233,22
173,239,22
444,241,22
313,252,22
313,274,22
313,276,22
179,280,22
183,294,22
9,295,22
173,301,22
183,307,22
444,319,22
313,359,22
173,371,22
269,398,22
179,416,22
9,432,22
269,456,22
173,470,22
78,8,23
208,45,23
294,53,23
91,67,23
91,77,23
294,80,23
1,88,23
19,136,23
294,150,23
35,166,23
294,172,23
294,215,23
294,223,23
294,231,23
208,236,23
171,277,23
416,278,23
319,293,23
319,299,23
319,302,23
91,322,23
241,351,23
319,352,23
35,355,23
319,366,23
294,386,23
19,421,23
294,468,23
294,469,23
228,472,23
319,474,23
421,51,24
136,64,24
136,74,24
299,84,24
351,99,24
386,122,24
322,126,24
351,153,24
322,165,24
351,175,24
136,200,24
293,205,24
77,214,24
150,224,24
53,291,24
322,296,24
53,340,24
322,344,24
322,370,24
53,387,24
231,423,24
136,426,24
53,433,24
322,446,24
322,452,24
214,4,25
387,13,25
214,28,25
446,32,25
387,106,25
296,135,25
296,148,25
84,161,25
296,186,25
214,191,25
153,207,25
214,211,25
214,217,25
153,225,25
214,271,25
99,285,25
214,287,25
84,300,25
214,353,25
296,354,25
387,372,25
126,405,25
387,408,25
296,422,25
387,443,25
344,473,25
387,476,25
271,17,26
443,36,26
443,167,26
225,284,26
225,437,26
36,358,27
